AnimalID,Aggressive,At Vet,Barn,Behavior,Court/Investigation,Enroute,Foster,In Foster,In Kennel,In Surgery,Medical,Offsite,Partner,Rabies Risk,SCRP,Suffering,Target,Main Breed,BreedName,sex,fertility,MixColor,color,colorC,agenumber,ageperiod,age,ageC,MainBreedMix,MixBreed,animal,HaveName,outcome
A698777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,61,CHIHUAHUA SHORTHAIR,1.0,1.0,1.0,White,1.0,5.0,years,1825.0,5.0,111.0,1.0,1.0,1.0,0.0
A715348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,80,DOMESTIC SHORTHAIR,1.0,1.0,1.0,Cream Tabby,16.0,2.0,months,60.0,0.0,147.0,1.0,2.0,1.0,0.0
A708666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,174,RUSSIAN BLUE,0.0,1.0,0.0,Blue,6.0,7.0,years,2555.0,7.0,306.0,1.0,2.0,1.0,2.0
A718535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,80,DOMESTIC SHORTHAIR,1.0,1.0,0.0,Calico,12.0,3.0,years,1095.0,3.0,147.0,1.0,2.0,0.0,3.0
A707341,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,124,LABRADOR RETRIEVER,0.0,0.0,1.0,Black,0.0,4.0,months,120.0,0.0,221.0,1.0,1.0,1.0,1.0
A682532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,80,DOMESTIC SHORTHAIR,1.0,1.0,0.0,Torbie,14.0,2.0,months,60.0,0.0,147.0,1.0,2.0,0.0,0.0
A666825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,67,COLLIE SMOOTH,0.0,1.0,1.0,Brown,3.0,5.0,years,1825.0,5.0,122.0,1.0,1.0,1.0,2.0
A699723,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,61,CHIHUAHUA SHORTHAIR,0.0,1.0,0.0,Brown,3.0,3.0,years,1095.0,3.0,111.0,1.0,1.0,1.0,1.0
A668626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,124,LABRADOR RETRIEVER,0.0,0.0,0.0,Yellow,18.0,3.0,years,1095.0,3.0,221.0,1.0,1.0,0.0,3.0
A657085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,159,PIT BULL,0.0,1.0,1.0,Brown,3.0,3.0,years,1095.0,3.0,279.0,1.0,1.0,1.0,2.0
A682413,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,80,DOMESTIC SHORTHAIR,0.0,0.0,1.0,Blue,6.0,2.0,months,60.0,0.0,147.0,1.0,2.0,0.0,1.0
A702655,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,80,DOMESTIC SHORTHAIR,0.0,1.0,1.0,Black,0.0,4.0,months,120.0,0.0,147.0,1.0,2.0,1.0,1.0
A707503,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,80,DOMESTIC SHORTHAIR,0.0,0.0,0.0,Brown Tabby,2.0,3.0,weeks,21.0,0.0,147.0,1.0,2.0,0.0,1.0
A697199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,80,DOMESTIC SHORTHAIR,1.0,1.0,0.0,Blue Tabby,10.0,7.0,years,2555.0,7.0,147.0,1.0,2.0,1.0,0.0
A705598,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,80,DOMESTIC SHORTHAIR,0.0,0.0,0.0,Orange Tabby,5.0,2.0,months,60.0,0.0,147.0,1.0,2.0,0.0,1.0
A668388,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,80,DOMESTIC SHORTHAIR,1.0,0.0,0.0,Brown Tabby,2.0,2.0,months,60.0,0.0,147.0,1.0,2.0,1.0,1.0
A671181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,78,DOMESTIC LONGHAIR,0.0,0.0,1.0,Black,0.0,4.0,years,1460.0,4.0,143.0,1.0,2.0,0.0,1.0
A676766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,80,DOMESTIC SHORTHAIR,0.0,1.0,1.0,Black,0.0,2.0,years,730.0,2.0,147.0,1.0,2.0,1.0,0.0
A686716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,22,BEAGLE,0.0,1.0,0.0,Tricolor,7.0,12.0,years,4380.0,12.0,37.0,0.0,1.0,1.0,2.0
A684475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,80,DOMESTIC SHORTHAIR,1.0,1.0,1.0,White,1.0,9.0,years,3285.0,9.0,147.0,1.0,2.0,1.0,2.0
A701804,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,80,DOMESTIC SHORTHAIR,1.0,0.0,0.0,Black,0.0,3.0,weeks,21.0,0.0,147.0,1.0,2.0,0.0,1.0
A697852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,98,GERMAN SHEPHERD,1.0,1.0,1.0,Black,0.0,5.0,months,150.0,0.0,177.0,1.0,1.0,1.0,0.0
A666092,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,159,PIT BULL,0.0,0.0,1.0,Chocolate,13.0,6.0,years,2190.0,6.0,278.0,1.0,1.0,0.0,3.0
A684050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,80,DOMESTIC SHORTHAIR,1.0,0.0,0.0,Tortie,11.0,1.0,year,365.0,1.0,147.0,1.0,2.0,0.0,1.0
A710107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,80,DOMESTIC SHORTHAIR,1.0,1.0,0.0,Brown Tabby,2.0,3.0,months,90.0,0.0,147.0,1.0,2.0,1.0,0.0
A682347,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,80,DOMESTIC SHORTHAIR,1.0,0.0,1.0,Blue Tabby,10.0,3.0,weeks,21.0,0.0,147.0,1.0,2.0,0.0,1.0
A701627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,35,BLUE LACY,0.0,1.0,1.0,Gray,19.0,2.0,years,730.0,2.0,61.0,1.0,1.0,1.0,0.0
A690902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,80,DOMESTIC SHORTHAIR,1.0,1.0,1.0,Orange Tabby,5.0,2.0,months,60.0,0.0,147.0,1.0,2.0,1.0,0.0
A712979,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,80,DOMESTIC SHORTHAIR,0.0,0.0,0.0,Black,0.0,1.0,weeks,7.0,0.0,147.0,1.0,2.0,0.0,1.0
A707687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,80,DOMESTIC SHORTHAIR,1.0,1.0,0.0,Calico,12.0,2.0,months,60.0,0.0,147.0,1.0,2.0,1.0,0.0
A683443,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,61,CHIHUAHUA SHORTHAIR,0.0,0.0,0.0,Tan,4.0,1.0,year,365.0,1.0,111.0,1.0,1.0,0.0,1.0
A597644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,33,BLACK MOUTH CUR,1.0,1.0,1.0,Tan,4.0,4.0,years,1460.0,4.0,57.0,1.0,1.0,1.0,2.0
A682784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,70,DACHSHUND,0.0,1.0,1.0,Brown,3.0,2.0,years,730.0,2.0,126.0,1.0,1.0,1.0,0.0
A709863,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,80,DOMESTIC SHORTHAIR,0.0,0.0,1.0,Orange Tabby,5.0,1.0,year,365.0,1.0,147.0,1.0,2.0,1.0,1.0
A678506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,219,YORKSHIRE TERRIER,1.0,1.0,1.0,Brown,3.0,11.0,years,4015.0,11.0,381.0,1.0,1.0,1.0,3.0
A713029,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,80,DOMESTIC SHORTHAIR,1.0,0.0,0.0,Black,0.0,1.0,month,30.0,0.0,147.0,1.0,2.0,1.0,1.0
A712236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,70,DACHSHUND,1.0,1.0,1.0,Tan,4.0,2.0,years,730.0,2.0,129.0,1.0,1.0,1.0,0.0
A683961,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,80,DOMESTIC SHORTHAIR,2.0,2.0,0.0,Black,0.0,2.0,weeks,14.0,0.0,147.0,1.0,2.0,0.0,1.0
A714740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,130,MALTESE,1.0,1.0,0.0,White,1.0,6.0,years,2190.0,6.0,231.0,1.0,1.0,1.0,2.0
A691847,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,163,POINTER,0.0,1.0,1.0,Black,0.0,6.0,months,180.0,0.0,285.0,1.0,1.0,1.0,1.0
A711392,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,85,ENGLISH FOXHOUND,1.0,0.0,0.0,Buff,17.0,2.0,months,60.0,0.0,155.0,0.0,1.0,1.0,1.0
A705258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,80,DOMESTIC SHORTHAIR,2.0,2.0,1.0,Brown Tabby,2.0,2.0,months,60.0,0.0,147.0,1.0,2.0,0.0,1.0
A678172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,61,CHIHUAHUA SHORTHAIR,1.0,1.0,0.0,Red,8.0,1.0,year,365.0,1.0,111.0,1.0,1.0,1.0,0.0
A676736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,211,VIZSLA,0.0,1.0,0.0,Brown,3.0,2.0,months,60.0,0.0,367.0,1.0,1.0,1.0,0.0
A701575,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,159,PIT BULL,0.0,1.0,1.0,Brown Brindle,9.0,2.0,years,730.0,2.0,279.0,1.0,1.0,1.0,1.0
A674913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,98,GERMAN SHEPHERD,1.0,1.0,0.0,White,1.0,3.0,years,1095.0,3.0,176.0,1.0,1.0,0.0,0.0
A706446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,80,DOMESTIC SHORTHAIR,1.0,0.0,0.0,Black,0.0,1.0,year,365.0,1.0,147.0,1.0,2.0,1.0,2.0
A669540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,219,YORKSHIRE TERRIER,1.0,1.0,1.0,Blue,6.0,4.0,years,1460.0,4.0,381.0,1.0,1.0,1.0,2.0
A709371,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,55,CARDIGAN WELSH CORGI,1.0,1.0,0.0,Tan,4.0,2.0,years,730.0,2.0,98.0,1.0,1.0,1.0,1.0
A681410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,78,DOMESTIC LONGHAIR,1.0,1.0,0.0,Brown Tabby,2.0,3.0,months,90.0,0.0,142.0,0.0,2.0,1.0,0.0
A675021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,80,DOMESTIC SHORTHAIR,1.0,0.0,0.0,Calico,12.0,1.0,year,365.0,1.0,147.0,1.0,2.0,0.0,3.0
A704179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,64,CHOW CHOW,0.0,1.0,0.0,Black,0.0,2.0,months,60.0,0.0,116.0,1.0,1.0,1.0,0.0
A717839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,80,DOMESTIC SHORTHAIR,1.0,1.0,1.0,Black,0.0,2.0,years,730.0,2.0,147.0,1.0,2.0,0.0,1.0
A700740,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0,61,CHIHUAHUA SHORTHAIR,0.0,1.0,0.0,White,1.0,1.0,year,365.0,1.0,110.0,0.0,1.0,1.0,0.0
A712376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,80,DOMESTIC SHORTHAIR,2.0,2.0,0.0,Blue Tabby,10.0,2.0,weeks,14.0,0.0,147.0,1.0,2.0,0.0,3.0
A703952,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,184,SIAMESE,2.0,2.0,0.0,Seal Point,24.0,4.0,weeks,28.0,0.0,323.0,1.0,2.0,1.0,1.0
A713690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,80,DOMESTIC SHORTHAIR,0.0,0.0,0.0,Blue Tabby,10.0,2.0,years,730.0,2.0,147.0,1.0,2.0,0.0,1.0
A691838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,159,PIT BULL,0.0,1.0,0.0,Brown Brindle,9.0,12.0,years,4380.0,12.0,279.0,1.0,1.0,1.0,3.0
A687789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,70,DACHSHUND,0.0,1.0,1.0,Brown,3.0,1.0,year,365.0,1.0,126.0,1.0,1.0,0.0,0.0
A704754,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0,80,DOMESTIC SHORTHAIR,0.0,1.0,0.0,Black,0.0,2.0,months,60.0,0.0,147.0,1.0,2.0,1.0,0.0
A707531,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,80,DOMESTIC SHORTHAIR,0.0,0.0,0.0,Black,0.0,2.0,weeks,14.0,0.0,147.0,1.0,2.0,0.0,1.0
A677594,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,124,LABRADOR RETRIEVER,1.0,0.0,1.0,Black,0.0,3.0,months,90.0,0.0,221.0,1.0,1.0,0.0,1.0
A667155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,79,DOMESTIC MEDIUM HAIR,1.0,1.0,0.0,Calico,12.0,3.0,months,90.0,0.0,145.0,1.0,2.0,0.0,0.0
A717147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,161,PLOTT HOUND,0.0,1.0,1.0,Brown Brindle,9.0,5.0,months,150.0,0.0,282.0,1.0,1.0,1.0,0.0
A687012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,42,BOXER,1.0,1.0,0.0,Black,0.0,3.0,years,1095.0,3.0,73.0,1.0,1.0,1.0,0.0
A676200,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,127,LHASA APSO,1.0,1.0,1.0,White,1.0,7.0,years,2555.0,7.0,225.0,0.0,1.0,1.0,1.0
A676680,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,98,GERMAN SHEPHERD,1.0,1.0,1.0,Black,0.0,2.0,years,730.0,2.0,177.0,1.0,1.0,1.0,3.0
A688443,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0,80,DOMESTIC SHORTHAIR,1.0,1.0,0.0,Black,0.0,4.0,months,120.0,0.0,147.0,1.0,2.0,1.0,0.0
A715261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,22,BEAGLE,1.0,1.0,1.0,White,1.0,9.0,years,3285.0,9.0,37.0,1.0,1.0,1.0,0.0
A717008,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,39,BORDER COLLIE,0.0,1.0,1.0,Black,0.0,7.0,months,210.0,0.0,68.0,1.0,1.0,1.0,1.0
A683416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,80,DOMESTIC SHORTHAIR,0.0,1.0,1.0,Black,0.0,2.0,months,60.0,0.0,147.0,1.0,2.0,0.0,0.0
A690658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,80,DOMESTIC SHORTHAIR,0.0,0.0,1.0,Black,0.0,3.0,years,1095.0,3.0,147.0,1.0,2.0,0.0,1.0
A695155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,40,BORDER TERRIER,0.0,1.0,0.0,Gray,19.0,3.0,years,1095.0,3.0,70.0,1.0,1.0,0.0,0.0
A679721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,61,CHIHUAHUA SHORTHAIR,0.0,1.0,1.0,Tan,4.0,5.0,years,1825.0,5.0,111.0,1.0,1.0,1.0,0.0
A719113,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,42,BOXER,0.0,1.0,1.0,Brown Brindle,9.0,5.0,years,1825.0,5.0,74.0,1.0,1.0,1.0,1.0
A665298,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,79,DOMESTIC MEDIUM HAIR,1.0,0.0,0.0,Blue,6.0,2.0,weeks,14.0,0.0,145.0,1.0,2.0,0.0,1.0
A708351,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,80,DOMESTIC SHORTHAIR,2.0,2.0,0.0,Black,0.0,2.0,weeks,14.0,0.0,147.0,1.0,2.0,0.0,1.0
A670681,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,80,DOMESTIC SHORTHAIR,1.0,1.0,0.0,Torbie,14.0,4.0,years,1460.0,4.0,147.0,1.0,2.0,1.0,1.0
A699990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,52,CAIRN TERRIER,0.0,1.0,1.0,Tan,4.0,4.0,years,1460.0,4.0,93.0,1.0,1.0,1.0,2.0
A707767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,80,DOMESTIC SHORTHAIR,0.0,1.0,0.0,Brown Tabby,2.0,2.0,months,60.0,0.0,147.0,1.0,2.0,1.0,0.0
A668362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,61,CHIHUAHUA SHORTHAIR,1.0,1.0,1.0,Black,0.0,2.0,years,730.0,2.0,111.0,1.0,1.0,1.0,2.0
A674577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,76,DOGO ARGENTINO,0.0,1.0,0.0,White,1.0,2.0,years,730.0,2.0,139.0,1.0,1.0,1.0,0.0
A674802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,70,DACHSHUND,0.0,1.0,1.0,Black,0.0,9.0,years,3285.0,9.0,129.0,1.0,1.0,1.0,2.0
A672410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,22,BEAGLE,0.0,1.0,0.0,Tricolor,7.0,5.0,years,1825.0,5.0,38.0,1.0,1.0,1.0,2.0
A657753,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,61,CHIHUAHUA SHORTHAIR,0.0,1.0,1.0,Yellow Brindle,40.0,1.0,year,365.0,1.0,110.0,1.0,1.0,1.0,3.0
A663339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,159,PIT BULL,1.0,1.0,1.0,Fawn,21.0,2.0,years,730.0,2.0,279.0,1.0,1.0,1.0,0.0
A678229,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,80,DOMESTIC SHORTHAIR,0.0,0.0,0.0,Brown Tabby,2.0,3.0,weeks,21.0,0.0,147.0,1.0,2.0,0.0,1.0
A698694,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,159,PIT BULL,0.0,0.0,1.0,White,1.0,5.0,months,150.0,0.0,279.0,1.0,1.0,1.0,1.0
A695971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,80,DOMESTIC SHORTHAIR,0.0,0.0,0.0,Orange Tabby,5.0,6.0,years,2190.0,6.0,147.0,1.0,2.0,0.0,3.0
A674233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,61,CHIHUAHUA SHORTHAIR,1.0,1.0,0.0,Tan,4.0,1.0,year,365.0,1.0,111.0,1.0,1.0,1.0,0.0
A713392,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,61,CHIHUAHUA SHORTHAIR,0.0,0.0,1.0,Black,0.0,3.0,months,90.0,0.0,111.0,1.0,1.0,1.0,1.0
A713968,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,78,DOMESTIC LONGHAIR,1.0,0.0,0.0,Calico,12.0,1.0,month,30.0,0.0,143.0,1.0,2.0,1.0,1.0
A701428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,61,CHIHUAHUA SHORTHAIR,1.0,1.0,0.0,Brown,3.0,3.0,years,1095.0,3.0,111.0,1.0,1.0,1.0,2.0
A676146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,70,DACHSHUND,0.0,1.0,0.0,Black,0.0,5.0,years,1825.0,5.0,129.0,1.0,1.0,1.0,2.0
A679259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,137,MINIATURE SCHNAUZER,0.0,1.0,0.0,Black,0.0,8.0,years,2920.0,8.0,243.0,1.0,1.0,1.0,0.0
A688223,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,124,LABRADOR RETRIEVER,1.0,1.0,1.0,Black,0.0,2.0,months,60.0,0.0,221.0,1.0,1.0,0.0,0.0
